upper_ch1,ascii_upper_ch1,upper_ch2,ascii_upper_ch2,upper_ch1_ch2,count_ch1_ch2
",",44,S,83,",S",10
Ë,203,C,67,ËC,10
T,84,Å,197,TÅ,10
 ,32,“,8220, “,10
$,36,5,53,$5,10
',39,],93,'],10
3,51,S,83,3S,10
A,65,!,33,A!,10
F,70,!,33,F!,10
Þ,222,W,87,ÞW,10
(,40,4,52,(4,10
J,74,H,72,JH,10
R,82,2,50,R2,10
X,88,N,78,XN,10
X,88,D,68,XD,10
N,78,Ê,202,NÊ,10
4,52,º,186,4º,10
",",44,L,76,",L",10
Ë,203,D,68,ËD,10
1,49,H,72,1H,10
T,84,Q,81,TQ,10
*,42,),41,*),10
+,43,P,80,+P,10
Q,81,H,72,QH,10
F,70,Ê,202,FÊ,10
Ï,207,E,69,ÏE,10
Æ,198,-,45,Æ-,10
I,73,Ñ,209,IÑ,10
N,78,3,51,N3,10
;,59,1,49,;1,10
.,46,U,85,.U,10
Y,89,J,74,YJ,10
C,67,Ô,212,CÔ,9
"
",10,),41,"
)",9
V,86,Ê,202,VÊ,9
",",44,R,82,",R",9
D,68,È,200,DÈ,9
/,47,2,50,/2,9
P,80,Ä,196,PÄ,9
^,94,R,82,^R,9
(,40,5,53,(5,9
Æ,198,\,92,Æ\,9
J,74,J,74,JJ,9
Ó,211,L,76,ÓL,9
Â,194,R,82,ÂR,9
Ô,212,R,82,ÔR,9
T,84,(,40,T(,9
”,8221, ,32,” ,9
T,84,Ü,220,TÜ,9
F,70,(,40,F(,9
6,54,;,59,6;,9
J,74,P,80,JP,9
Ï,207,R,82,ÏR,9
1,49,;,59,1;,9
A,65,^,94,A^,9
3,51,C,67,3C,9
2,50,B,66,2B,9
G,71,V,86,GV,9
2,50,M,77,2M,9
7,55,-,45,7-,9
[,91,"
",10,"[
",9
Á,193,T,84,ÁT,9
A,65,/,47,A/,9
Þ,222,Y,89,ÞY,9
9,57,N,78,9N,9
B,66,],93,B],9
W,87,Ö,214,WÖ,9
Æ,198,B,66,ÆB,9
 ,32,Å,197, Å,9
H,72,9,57,H9,9
J,74,"
",10,"J
",9
',39,;,59,';,9
~,126, ,32,~ ,8
Ï,207,C,67,ÏC,8
V,86,;,59,V;,8
E,69,Ü,220,EÜ,8
=,61,"
",10,"=
",8
 ,32,Ê,202, Ê,8
 ,32,Á,193, Á,8
T,84,7,55,T7,8
E,69,(,40,E(,8
M,77,Á,193,MÁ,8
(,40,',39,(',8
"
",10,],93,"
]",8
H,72,Z,90,HZ,8
6,54,N,78,6N,8
Y,89,Y,89,YY,8
½,189, ,32,½ ,8
 ,32,÷,247, ÷,8
8,56,D,68,8D,8
O,79,1,49,O1,8
 ,32,Â,194, Â,8
T,84,À,192,TÀ,8
 ,32,#,35, #,8
",",44,3,51,",3",8
Ö,214,H,72,ÖH,8
V,86,"
",10,"V
",8
-,45,6,54,-6,8
Å,197,",",44,"Å,",8
:,58,C,67,:C,8
Â,194,P,80,ÂP,8
D,68,Ä,196,DÄ,8
P,80,Ö,214,PÖ,8
Û,219,R,82,ÛR,8
J,74,M,77,JM,8
V,86,È,200,VÈ,8
],93,E,69,]E,8
Ê,202,M,77,ÊM,8
"""",34,Ñ,209,"""Ñ",8
8,56,º,186,8º,8
Ç,199,\,92,Ç\,8
Ó,211,M,77,ÓM,8
Ï,207,F,70,ÏF,8
V,86,H,72,VH,8
I,73,\,92,I\,7
',39,É,201,'É,7
P,80,Ô,212,PÔ,7
+,43,-,45,+-,7
Z,90,Ä,196,ZÄ,7
Å,197,T,84,ÅT,7
:,58,:,58,::,7
[,91,/,47,[/,7
9,57,º,186,9º,7
D,68,Ü,220,DÜ,7
A,65,Ü,220,AÜ,7
M,77,Ô,212,MÔ,7
R,82,Î,206,RÎ,7
E,69,Ç,199,EÇ,7
2,50,/,47,2/,7
Þ,222,\,92,Þ\,7
",",44,C,67,",C",7
Á,193, ,32,Á ,7
R,82,Þ,222,RÞ,7
Î,206,S,83,ÎS,7
J,74,F,70,JF,7
S,83,Ü,220,SÜ,7
/,47,B,66,/B,7
6,54,D,68,6D,7
Á,193,G,71,ÁG,7
O,79,7,55,O7,7
",",44,B,66,",B",7
",",44,M,77,",M",7
º,186,"
",10,"º
",7
Ö,214,V,86,ÖV,7
B,66,Q,81,BQ,7
"""",34,Ï,207,"""Ï",7
K,75,Æ,198,KÆ,7
Ý,221,A,65,ÝA,7
*,42,Ñ,209,*Ñ,7
L,76,Ê,202,LÊ,7
3,51,(,40,3(,7
!,33,),41,!),7
É,201,],93,É],7
T,84,Ô,212,TÔ,7
I,73,Ó,211,IÓ,7
(,40,(,40,((,7
6,54,],93,6],7
“,8220,P,80,“P,7
[,91,-,45,[-,7
Ë,203, ,32,Ë ,7
Z,90,K,75,ZK,7
;,59,C,67,;C,7
J,74,C,67,JC,7
V,86,Å,197,VÅ,7
H,72,^,94,H^,7
Ö,214,I,73,ÖI,7
 ,32,Ü,220, Ü,7
Ä,196,"""",34,"Ä""",7
D,68,Ë,203,DË,7
U,85,],93,U],7
-,45,5,53,-5,7
#,35, ,32,# ,7
 ,32,"
",10," 
",7
*,42,9,57,*9,7
',39,P,80,'P,7
B,66,Ê,202,BÊ,6
Ö,214,E,69,ÖE,6
Ç,199,U,85,ÇU,6
),41,(,40,)(,6
Ó,211,.,46,Ó.,6
],93,"""",34,"]""",6
Ä,196,",",44,"Ä,",6
A,65,Æ,198,AÆ,6
&,38,P,80,&P,6
`,96,X,88,`X,6
K,75,É,201,KÉ,6
E,69,2,50,E2,6
Z,90,P,80,ZP,6
S,83,Â,194,SÂ,6
/,47,4,52,/4,6
Ê,202,D,68,ÊD,6
^,94,O,79,^O,6
Ä,196,P,80,ÄP,6
),41,+,43,)+,6
/,47,8,56,/8,6
Â,194,M,77,ÂM,6
Ü,220,K,75,ÜK,6
8,56,N,78,8N,6
L,76,Û,219,LÛ,6
),41,I,73,)I,6
Ë,203,"""",34,"Ë""",6
"
",10,Ç,199,"
Ç",6
",",44,8,56,",8",6
},125,",",44,"},",6
T,84,+,43,T+,6
2,50,:,58,2:,6
4,52,C,67,4C,6
1,49,º,186,1º,6
4,52,(,40,4(,6
H,72,Å,197,HÅ,6
Ó,211,H,72,ÓH,6
4,52,S,83,4S,6
K,75,Ô,212,KÔ,6
÷,247, ,32,÷ ,6
(,40,0,48,(0,6
B,66,Å,197,BÅ,6
^,94, ,32,^ ,6
6,54,(,40,6(,6
;,59,T,84,;T,6
W,87,1,49,W1,6
D,68,Î,206,DÎ,6
Ê,202,R,82,ÊR,6
3,51,],93,3],6
9,57,;,59,9;,6
:,58,B,66,:B,6
(,40,7,55,(7,6
6,54,M,77,6M,6
",",44,6,54,",6",6
P,80,Û,219,PÛ,6
B,66,Û,219,BÛ,6
Z,90,Æ,198,ZÆ,6
J,74,É,201,JÉ,6
N,78,Á,193,NÁ,6
Ö,214,B,66,ÖB,6
°,176,",",44,"°,",6
È,200,Q,81,ÈQ,6
',39,F,70,'F,6
[,91,(,40,[(,6
/,47,3,51,/3,6
),41,6,54,)6,6
Z,90,C,67,ZC,6
`,96,É,201,`É,6
Ý,221,O,79,ÝO,6
Å,197,S,83,ÅS,5
_,95, ,32,_ ,5
E,69,3,51,E3,5
*,42,"
",10,"*
",5
Û,219,M,77,ÛM,5
;,59,],93,;],5
I,73,Ö,214,IÖ,5
A,65,3,51,A3,5
^,94,",",44,"^,",5
Ï,207,L,76,ÏL,5
[,91,"""",34,"[""",5
Z,90,B,66,ZB,5
&,38,C,67,&C,5
*,42,7,55,*7,5
Ü,220,D,68,ÜD,5
6,54,R,82,6R,5
/,47,A,65,/A,5
 ,32,_,95, _,5
*,42,8,56,*8,5
6,54,S,83,6S,5
*,42,`,96,*`,5
Î,206,Z,90,ÎZ,5
;,59,S,83,;S,5
P,80,Ü,220,PÜ,5
R,82,Ç,199,RÇ,5
I,73,(,40,I(,5
Æ,198,H,72,ÆH,5
N,78,Ô,212,NÔ,5
G,71,Î,206,GÎ,5
Ï,207,",",44,"Ï,",5
H,72,(,40,H(,5
Ü,220,",",44,"Ü,",5
D,68,Ô,212,DÔ,5
^,94,D,68,^D,5
8,56,',39,8',5
Ó,211,;,59,Ó;,5
Ü,220,Y,89,ÜY,5
 ,32,Î,206, Î,5
;,59,",",44,";,",5
",",44,9,57,",9",5
 ,32,},125, },5
Þ,222,V,86,ÞV,5
Ê,202, ,32,Ê ,5
	,9,O,79,	O,5
",",44,W,87,",W",5
E,69,Ñ,209,EÑ,5
F,70,Å,197,FÅ,5
W,87,Î,206,WÎ,5
",",44,U,85,",U",5
H,72,Á,193,HÁ,5
Ï,207,T,84,ÏT,5
L,76,(,40,L(,5
(,40,6,54,(6,5
(,40,Ä,196,(Ä,5
£,163,1,49,£1,5
],93,),41,]),5
Þ,222,",",44,"Þ,",5
B,66,Z,90,BZ,5
=,61,1,49,=1,5
*,42,",",44,"*,",5
N,78,È,200,NÈ,5
W,87,V,86,WV,5
",",44,),41,",)",5
",",44,H,72,",H",5
A,65,(,40,A(,5
Á,193,;,59,Á;,5
È,200,B,66,ÈB,5
"""",34,Î,206,"""Î",5
1,49,A,65,1A,5
W,87,J,74,WJ,5
Á,193,.,46,Á.,5
3,51,:,58,3:,5
1,49,D,68,1D,5
G,71,”,8221,G”,5
;,59,A,65,;A,5
Ë,203,`,96,Ë`,5
J,74,L,76,JL,5
Y,89,É,201,YÉ,5
L,76,4,52,L4,5
Â,194,S,83,ÂS,5
R,82,3,51,R3,5
8,56,M,77,8M,5
Ñ,209,I,73,ÑI,5
/,47, ,32,/ ,5
E,69,Ô,212,EÔ,5
2,50,],93,2],5
 ,32,×,215, ×,5
J,74,Y,89,JY,5
Ô,212,P,80,ÔP,5
C,67,Ó,211,CÓ,5
L,76,Á,193,LÁ,5
S,83,3,51,S3,5
Ä,196,B,66,ÄB,5
’,8217,S,83,’S,5
D,68,6,54,D6,5
Ö,214,"""",34,"Ö""",5
Å,197,D,68,ÅD,5
Á,193,I,73,ÁI,5
T,84,Î,206,TÎ,5
1,49,],93,1],5
Å,197,G,71,ÅG,5
A,65,Þ,222,AÞ,5
×,215, ,32,× ,5
:,58,1,49,:1,5
$,36,4,52,$4,5
J,74,*,42,J*,5
Ý,221,I,73,ÝI,5
Á,193,",",44,"Á,",4
8,56,:,58,8:,4
Ö,214,.,46,Ö.,4
É,201,',39,É',4
Ü,220,M,77,ÜM,4
T,84,Í,205,TÍ,4
2,50,A,65,2A,4
A,65,È,200,AÈ,4
"
",10,0,48,"
0",4
3,51,/,47,3/,4
),41,),41,)),4
-,45,7,55,-7,4
R,82,Ë,203,RË,4
"
",10,{,123,"
{",4
Ç,199,I,73,ÇI,4
2,50,F,70,2F,4
Ç,199,R,82,ÇR,4
Q,81,Q,81,QQ,4
B,66,/,47,B/,4
J,74,V,86,JV,4
2,50,P,80,2P,4
I,73,Þ,222,IÞ,4
 ,32,Ô,212, Ô,4
},125, ,32,} ,4
",",44,-,45,",-",4
X,88,4,52,X4,4
X,88,Æ,198,XÆ,4
Ä,196,E,69,ÄE,4
',39,U,85,'U,4
M,77,Q,81,MQ,4
',39,W,87,'W,4
J,74,Z,90,JZ,4
*,42,Ï,207,*Ï,4
6,54,X,88,6X,4
P,80,V,86,PV,4
],93,I,73,]I,4
6,54,/,47,6/,4
Ä,196, ,32,Ä ,4
"
",10,Ö,214,"
Ö",4
Z,90,J,74,ZJ,4
L,76,Å,197,LÅ,4
~,126,=,61,~=,4
3,51,½,189,3½,4
W,87,	,9,W	,4
 ,32,•,8226, •,4
Û,219,",",44,"Û,",4
U,85,:,58,U:,4
U,85,\,92,U\,4
[,91,&,38,[&,4
[,91,',39,[',4
&,38,V,86,&V,4
[,91,3,51,[3,4
E,69,É,201,EÉ,4
Ú,218,H,72,ÚH,4
),41,1,49,)1,4
*,42,-,45,*-,4
K,75,Ë,203,KË,4
;,59,4,52,;4,4
"
",10,;,59,"
;",4
Ê,202,S,83,ÊS,4
º,186,;,59,º;,4
Ó,211,C,67,ÓC,4
À,192,",",44,"À,",4
3,51,R,82,3R,4
§,167,2,50,§2,4
|,124,|,124,||,4
!,33,],93,!],4
0,48,N,78,0N,4
Ë,203,F,70,ËF,4
"
",10,=,61,"
=",4
"""",34,`,96,"""`",4
M,77,Å,197,MÅ,4
P,80,Ó,211,PÓ,4
R,82,Û,219,RÛ,4
`,96,Ç,199,`Ç,4
Î,206,L,76,ÎL,4
^,94,A,65,^A,4
:,58,"""",34,":""",4
U,85,È,200,UÈ,4
G,71,/,47,G/,4
•,8226, ,32,• ,4
L,76,3,51,L3,4
N,78,[,91,N[,4
B,66,Â,194,BÂ,4
0,48,',39,0',4
R,82,(,40,R(,4
X,88,3,51,X3,4
Ü,220,F,70,ÜF,4
Â,194,Q,81,ÂQ,4
Û,219,C,67,ÛC,4
),41,N,78,)N,4
Á,193,U,85,ÁU,4
É,201,U,85,ÉU,4
Æ,198,W,87,ÆW,4
*,42,4,52,*4,4
N,78,\,92,N\,4
E,69,Þ,222,EÞ,4
Ö,214,X,88,ÖX,3
Ü,220,"""",34,"Ü""",3
R,82,Ï,207,RÏ,3
Ù,217, ,32,Ù ,3
G,71,2,50,G2,3
Û,219,N,78,ÛN,3
W,87,Ê,202,WÊ,3
3,51,P,80,3P,3
"
",10,|,124,"
|",3
2,50,°,176,2°,3
J,74,',39,J',3
3,51,X,88,3X,3
U,85,Ï,207,UÏ,3
D,68,4,52,D4,3
Û,219,L,76,ÛL,3
Ê,202,Z,90,ÊZ,3
6,54,:,58,6:,3
F,70,2,50,F2,3
9,57,*,42,9*,3
9,57,O,79,9O,3
1,49,:,58,1:,3
8,56,V,86,8V,3
$,36,3,51,$3,3
&,38,A,65,&A,3
X,88,],93,X],3
],93,T,84,]T,3
B,66,X,88,BX,3
D,68,Å,197,DÅ,3
F,70,1,49,F1,3
5,53,S,83,5S,3
Ò,210,M,77,ÒM,3
T,84,Â,194,TÂ,3
P,80,X,88,PX,3
",",44,K,75,",K",3
(,40,Ê,202,(Ê,3
*,42,3,51,*3,3
N,78,Û,219,NÛ,3
0,48,],93,0],3
 ,32,Ë,203, Ë,3
C,67,/,47,C/,3
Â,194,`,96,Â`,3
Í,205,",",44,"Í,",3
Á,193,E,69,ÁE,3
Ñ,209,",",44,"Ñ,",3
Â,194,B,66,ÂB,3
',39,*,42,'*,3
È,200,"""",34,"È""",3
6,54,F,70,6F,3
S,83,Å,197,SÅ,3
O,79,+,43,O+,3
Ï,207,*,42,Ï*,3
&,38,",",44,"&,",3
-,45,É,201,-É,3
.,46,},125,.},3
4,52,=,61,4=,3
Á,193,Z,90,ÁZ,3
D,68,Í,205,DÍ,3
Ö,214,J,74,ÖJ,3
J,74,G,71,JG,3
+,43,H,72,+H,3
H,72,X,88,HX,3
2,50,½,189,2½,3
P,80,Á,193,PÁ,3
S,83,Û,219,SÛ,3
I,73,Ï,207,IÏ,3
Z,90,Q,81,ZQ,3
+,43,),41,+),3
/,47,C,67,/C,3
H,72,Î,206,HÎ,3
/,47,(,40,/(,3
:,58,D,68,:D,3
B,66,3,51,B3,3
Î,206,M,77,ÎM,3
*,42,.,46,*.,3
;,59,L,76,;L,3
G,71,#,35,G#,3
/,47,H,72,/H,3
7,55,;,59,7;,3
Ú,218,T,84,ÚT,3
À,192,I,73,ÀI,3
¼,188, ,32,¼ ,3
:,58,6,54,:6,3
L,76,À,192,LÀ,3
8,56,],93,8],3
T,84,6,54,T6,3
"""",34,Æ,198,"""Æ",3
Ë,203,",",44,"Ë,",3
Q,81,W,87,QW,3
 ,32,{,123, {,3
),41,E,69,)E,3
L,76,Ô,212,LÔ,3
V,86,M,77,VM,3
Å,197,.,46,Å.,3
À,192,.,46,À.,3
N,78,’,8217,N’,3
$,36,2,50,$2,3
É,201,),41,É),3
Î,206, ,32,Î ,3
I,73,Ù,217,IÙ,3
§,167,1,49,§1,3
Ò,210,",",44,"Ò,",3
(,40,],93,(],3
:,58,(,40,:(,3
(,40,+,43,(+,3
P,80,Ç,199,PÇ,3
P,80,2,50,P2,3
[,91,*,42,[*,3
/,47,D,68,/D,3
G,71,À,192,GÀ,3
",",44,D,68,",D",3
Z,90,Ö,214,ZÖ,3
7,55,S,83,7S,3
B,66,È,200,BÈ,3
',39,:,58,':,3
È,200, ,32,È ,3
1,49,(,40,1(,3
5,53,:,58,5:,3
E,69,Ê,202,EÊ,3
Y,89,Ë,203,YË,3
Z,90,],93,Z],3
R,82,Ó,211,RÓ,3
 ,32,º,186, º,3
`,96,Ñ,209,`Ñ,3
2,50,R,82,2R,3
Ë,203,G,71,ËG,3
:,58,8,56,:8,3
Y,89,Ê,202,YÊ,3
Ü,220, ,32,Ü ,3
C,67,Â,194,CÂ,3
(,40,`,96,(`,3
Ó,211,B,66,ÓB,3
",",44,J,74,",J",3
I,73,Ç,199,IÇ,3
:,58,2,50,:2,3
$,36,R,82,$R,3
),41,A,65,)A,3
8,56,I,73,8I,3
(,40,8,56,(8,3
E,69,Ò,210,EÒ,3
G,71,Á,193,GÁ,3
X,88,!,33,X!,3
Û,219,S,83,ÛS,3
S,83,[,91,S[,3
S,83,Î,206,SÎ,3
W,87,Â,194,WÂ,3
+,43,",",44,"+,",3
|,124,*,42,|*,3
;,59,O,79,;O,3
É,201,*,42,É*,3
V,86,Â,194,VÂ,3
4,52,M,77,4M,3
S,83,/,47,S/,3
Ü,220,E,69,ÜE,3
~,126,.,46,~.,2
~,126,;,59,~;,2
B,66,Ô,212,BÔ,2
Ê,202,P,80,ÊP,2
/,47,O,79,/O,2
D,68,Ó,211,DÓ,2
D,68,Û,219,DÛ,2
X,88,1,49,X1,2
Í,205,.,46,Í.,2
B,66,6,54,B6,2
 ,32,/,47, /,2
A,65,Ö,214,AÖ,2
"
",10,Â,194,"
Â",2
B,66,Ï,207,BÏ,2
Ã,195,O,79,ÃO,2
/,47,1,49,/1,2
4,52,/,47,4/,2
Z,90,Ô,212,ZÔ,2
!,33,;,59,!;,2
:,58,],93,:],2
B,66,4,52,B4,2
Ä,196,`,96,Ä`,2
F,70,6,54,F6,2
F,70,Ô,212,FÔ,2
Î,206,D,68,ÎD,2
 ,32,Ñ,209, Ñ,2
Ó,211,"
",10,"Ó
",2
T,84,\,92,T\,2
-,45,Î,206,-Î,2
Ú,218,.,46,Ú.,2
K,75,Q,81,KQ,2
È,200,Z,90,ÈZ,2
[,91,Æ,198,[Æ,2
&,38,I,73,&I,2
5,53,',39,5',2
W,87,Û,219,WÛ,2
J,74,B,66,JB,2
1,49,{,123,1{,2
Q,81,),41,Q),2
Ú,218, ,32,Ú ,2
4,52,K,75,4K,2
Ë,203,A,65,ËA,2
I,73,”,8221,I”,2
(,40,$,36,($,2
',39,Q,81,'Q,2
[,91,+,43,[+,2
Ï,207,.,46,Ï.,2
"
",10,~,126,"
~",2
Ï,207, ,32,Ï ,2
6,54,*,42,6*,2
1,49,+,43,1+,2
L,76,Î,206,LÎ,2
 ,32,^,94, ^,2
"
",10,À,192,"
À",2
Ä,196,*,42,Ä*,2
W,87,(,40,W(,2
;,59,U,85,;U,2
Â,194,",",44,"Â,",2
Ô,212,",",44,"Ô,",2
E,69,\,92,E\,2
1,49,*,42,1*,2
(,40,|,124,(|,2
Q,81,"
",10,"Q
",2
W,87,É,201,WÉ,2
),41,5,53,)5,2
5,53,°,176,5°,2
9,57,:,58,9:,2
7,55,º,186,7º,2
*,42,Ç,199,*Ç,2
Í,205,S,83,ÍS,2
',39,6,54,'6,2
^,94,Q,81,^Q,2
~,126,),41,~),2
D,68,3,51,D3,2
Y,89,Q,81,YQ,2
J,74,Æ,198,JÆ,2
|,124,],93,|],2
Ê,202,H,72,ÊH,2
Â,194,G,71,ÂG,2
M,77,+,43,M+,2
Ú,218,L,76,ÚL,2
(,40,9,57,(9,2
"
",10,!,33,"
!",2
2,50,*,42,2*,2
P,80,Å,197,PÅ,2
Z,90,Ü,220,ZÜ,2
4,52,],93,4],2
/,47,N,78,/N,2
+,43,L,76,+L,2
|,124,),41,|),2
F,70,[,91,F[,2
 ,32,Û,219, Û,2
Ô,212,D,68,ÔD,2
;,59,),41,;),2
K,75,Ò,210,KÒ,2
2,50,I,73,2I,2
Ë,203,.,46,Ë.,2
"
",10,:,58,"
:",2
F,70,X,88,FX,2
/,47,G,71,/G,2
"""",34,(,40,"""(",2
M,77,Û,219,MÛ,2
E,69,Ú,218,EÚ,2
I,73,Â,194,IÂ,2
F,70,Î,206,FÎ,2
Â,194,D,68,ÂD,2
	,9,A,65,	A,2
:,58,S,83,:S,2
L,76,Þ,222,LÞ,2
Á,193,K,75,ÁK,2
|,124,"
",10,"|
",2
Ì,204,R,82,ÌR,2
Ü,220,P,80,ÜP,2
C,67,#,35,C#,2
&,38,M,77,&M,2
:,58,O,79,:O,2
V,86,C,67,VC,2
G,71,Q,81,GQ,2
2,50,{,123,2{,2
É,201,K,75,ÉK,2
*,42,],93,*],2
Ñ,209,"""",34,"Ñ""",2
3,51,"""",34,"3""",2
0,48,:,58,0:,2
C,67,(,40,C(,2
[,91,|,124,[|,2
J,74,Ü,220,JÜ,2
X,88,K,75,XK,2
A,65,0,48,A0,2
~,126,",",44,"~,",2
`,96,3,51,`3,2
`,96,',39,`',2
:,58,F,70,:F,2
H,72,Ë,203,HË,2
T,84,$,36,T$,2
^,94,),41,^),2
Æ,198,Z,90,ÆZ,2
Ò,210,R,82,ÒR,2
V,86,J,74,VJ,2
Ù,217,",",44,"Ù,",2
Ä,196,X,88,ÄX,2
(,40,!,33,(!,2
Ï,207,U,85,ÏU,2
O,79,9,57,O9,2
Q,81,L,76,QL,2
+,43,B,66,+B,2
;,59,E,69,;E,2
S,83,Ç,199,SÇ,2
),41,R,82,)R,2
Î,206,C,67,ÎC,2
Ç,199,"""",34,"Ç""",2
O,79,È,200,OÈ,2
=,61,C,67,=C,2
H,72,Ê,202,HÊ,2
Ê,202,",",44,"Ê,",2
*,42,Ô,212,*Ô,2
O,79,Æ,198,OÆ,2
Ì,204,L,76,ÌL,2
À,192,R,82,ÀR,2
:,58,5,53,:5,2
9,57,S,83,9S,2
[,91,:,58,[:,2
[,91,",",44,"[,",2
W,87,Q,81,WQ,2
[,91,=,61,[=,2
"""",34,Ê,202,"""Ê",2
),41,-,45,)-,2
6,54,°,176,6°,2
1,49,X,88,1X,2
G,71,Â,194,GÂ,2
2,50,',39,2',2
À,192,"
",10,"À
",2
8,56,A,65,8A,2
I,73,Ë,203,IË,2
Ô,212,S,83,ÔS,2
[,91,!,33,[!,2
T,84,Ó,211,TÓ,2
Å,197,K,75,ÅK,2
"
",10,$,36,"
$",2
-,45,|,124,-|,2
Z,90,:,58,Z:,2
C,67,&,38,C&,2
Ê,202,V,86,ÊV,2
$,36, ,32,$ ,2
J,74,Ë,203,JË,2
K,75,Ó,211,KÓ,2
Ç,199,C,67,ÇC,2
;,59,D,68,;D,2
+,43,S,83,+S,2
Z,90,Á,193,ZÁ,2
I,73,Ð,208,IÐ,2
Ð,208,R,82,ÐR,2
Ú,218,C,67,ÚC,2
Þ,222, ,32,Þ ,2
K,75,4,52,K4,2
G,71,Å,197,GÅ,2
S,83,Í,205,SÍ,2
V,86,Ë,203,VË,2
4,52,X,88,4X,2
),41,S,83,)S,2
G,71,Ü,220,GÜ,2
|,124,",",44,"|,",2
N,78,Ü,220,NÜ,2
/,47,"
",10,"/
",2
V,86,G,71,VG,2
(,40,[,91,([,2
 ,32,<,60, <,2
Ô,212,K,75,ÔK,2
:,58,3,51,:3,2
H,72,	,9,H	,2
Ó,211, ,32,Ó ,2
"""",34,:,58,""":",2
],93,B,66,]B,2
E,69,+,43,E+,2
Z,90,Ê,202,ZÊ,2
"
",10,`,96,"
`",2
[,91,5,53,[5,2
5,53,(,40,5(,2
+,43,+,43,++,2
X,88,È,200,XÈ,2
[,91,[,91,[[,2
Î,206,*,42,Î*,2
R,82,/,47,R/,2
P,80,Î,206,PÎ,2
R,82,Ú,218,RÚ,2
[,91,;,59,[;,2
U,85,Î,206,UÎ,2
Î,206,K,75,ÎK,2
`,96,Ï,207,`Ï,2
N,78,+,43,N+,2
½,189,",",44,"½,",2
£,163,2,50,£2,2
V,86,Z,90,VZ,2
4,52,D,68,4D,2
],93,(,40,](,2
],93,C,67,]C,2
/,47,9,57,/9,2
Z,90,Ú,218,ZÚ,2
C,67,Î,206,CÎ,2
Ë,203,"
",10,"Ë
",2
>,62, ,32,> ,2
Þ,222,Á,193,ÞÁ,2
Ö,214,A,65,ÖA,2
+,43,],93,+],2
T,84,Ù,217,TÙ,2
O,79,Ç,199,OÇ,2
Ý,221,U,85,ÝU,2
Á,193,\,92,Á\,1
),41,C,67,)C,1
B,66,À,192,BÀ,1
1,49,J,74,1J,1
E,69,Û,219,EÛ,1
F,70,+,43,F+,1
Ä,196,',39,Ä',1
0,48,*,42,0*,1
V,86,Ô,212,VÔ,1
M,77,[,91,M[,1
6,54,',39,6',1
U,85,Ë,203,UË,1
(,40,/,47,(/,1
Û,219,A,65,ÛA,1
Y,89,+,43,Y+,1
+,43,W,87,+W,1
6,54,Q,81,6Q,1
º,186,),41,º),1
Å,197,),41,Å),1
Z,90,Ï,207,ZÏ,1
	,9,I,73,	I,1
-,45,$,36,-$,1
Þ,222,J,74,ÞJ,1
Â,194,W,87,ÂW,1
_,95,S,83,_S,1
I,73,Á,193,IÁ,1
Í,205,E,69,ÍE,1
O,79,0,48,O0,1
),41,H,72,)H,1
[,91,6,54,[6,1
Ô,212,V,86,ÔV,1
º,186,F,70,ºF,1
Ü,220,A,65,ÜA,1
L,76,Ï,207,LÏ,1
Y,89,3,51,Y3,1
6,54,+,43,6+,1
F,70,Q,81,FQ,1
7,55,*,42,7*,1
$,36,7,55,$7,1
&,38,S,83,&S,1
£,163,3,51,£3,1
7,55,O,79,7O,1
N,78,Ò,210,NÒ,1
F,70,Á,193,FÁ,1
$,36,*,42,$*,1
R,82,Í,205,RÍ,1
Ï,207,A,65,ÏA,1
2,50,"""",34,"2""",1
*,42,Ü,220,*Ü,1
9,57,',39,9',1
1,49,K,75,1K,1
Å,197,P,80,ÅP,1
[,91,^,94,[^,1
",",44,:,58,",:",1
Ç,199,V,86,ÇV,1
3,51,{,123,3{,1
4,52,{,123,4{,1
{,123,"
",10,"{
",1
|,124,R,82,|R,1
Ð,208,A,65,ÐA,1
2,50,Y,89,2Y,1
{,123,O,79,{O,1
À,192,;,59,À;,1
$,36,K,75,$K,1
F,70,3,51,F3,1
D,68,\,92,D\,1
Î,206,",",44,"Î,",1
E,69,&,38,E&,1
&,38,T,84,&T,1
Ñ,209,C,67,ÑC,1
Å,197, ,32,Å ,1
1,49,O,79,1O,1
K,75,Ï,207,KÏ,1
L,76,6,54,L6,1
F,70,=,61,F=,1
:,58,9,57,:9,1
3,51,|,124,3|,1
4,52,|,124,4|,1
Y,89,\,92,Y\,1
Å,197,F,70,ÅF,1
%,37, ,32,% ,1
™,8482,",",44,"™,",1
Û,219,B,66,ÛB,1
Þ,222,"
",10,"Þ
",1
I,73,4,52,I4,1
 ,32,¼,188, ¼,1
3,51,¼,188,3¼,1
Y,89,Á,193,YÁ,1
T,84,Ë,203,TË,1
B,66,8,56,B8,1
K,75,6,54,K6,1
L,76,Ë,203,LË,1
Ð,208,G,71,ÐG,1
Ï,207,G,71,ÏG,1
S,83,Ô,212,SÔ,1
Þ,222,Ü,220,ÞÜ,1
V,86,Í,205,VÍ,1
),41,',39,)',1
U,85,1,49,U1,1
D,68,/,47,D/,1
:,58,H,72,:H,1
+,43,G,71,+G,1
',39,J,74,'J,1
|,124,T,84,|T,1
Æ,198,(,40,Æ(,1
£,163,5,53,£5,1
Ü,220,V,86,ÜV,1
Î,206,P,80,ÎP,1
L,76,Ò,210,LÒ,1
